,Date,N,windows,scaled_windows,MSE,RMSE
0,0,0.0,1,1.0,0,0
1,1,0.0,2,1.0,0,0
2,2,0.0,3,1.0,0,0
3,3,-0.0182896582280335,4,1.0,0,0
4,4,1.3621515359349838,5,1.0,0,0
5,5,2.12727791333435,6,1.0,0,0
6,6,1.916163259000669,7,1.0,0,0
7,7,1.6458893219998854,8,1.0,0,0
8,8,0.4349137122053013,9,1.0,0,0
9,9,-0.0918848950700568,10,1.0,0,0
10,10,-2.163877037196512,11,1.0,0,0
11,11,-1.3946937378808273,12,1.0,0,0
12,12,-0.8911062734412862,13,1.0,0,0
13,13,-0.4411755362945452,14,1.0,0,0
14,14,1.2638099102067035,15,1.0,0,0
15,15,1.0321745615256852,16,1.0,0,0
16,16,1.123435689326725,17,1.0,0,0
17,17,-0.085050866779456,18,1.0,0,0
18,18,-0.1393851202814509,19,1.0,0,0
19,19,0.9192293014145664,20,1.0,0,0
20,20,-0.1896048929276742,21,1.0,0,0
21,21,-1.2879813125655997,22,1.0,0,0
22,22,-1.6803197944636028,23,1.0,0,0
23,23,-0.7682535522240211,24,1.0,0,0
24,24,-2.129042515904638,25,1.0,0,0
25,25,-1.6693597405753309,26,1.0,0,0
26,26,-2.759042720824844,27,1.0,0,0
27,27,-2.603085842671713,28,1.0,0,0
28,28,-2.8981757304203803,29,1.0,0,0
29,29,-1.4405610241632492,30,1.0,0,0
30,30,-0.2016546974019226,31,1.0,0,0
31,31,-1.829204377334548,32,1.0,0,0
32,32,-3.548325264085051,33,1.0,0,0
33,33,-3.26458688090115,34,1.0,0,0
34,34,-2.3245508420602192,35,1.0,0,0
35,35,-1.8145856239473368,36,1.0,0,0
36,36,-1.9422137095448928,37,1.0,0,0
37,37,-0.7548879991523056,38,1.0,0,0
38,38,-1.0823566085715075,39,1.0,0,0
39,39,-0.912900005609203,40,1.0,0,0
40,40,0.0690842110576752,41,1.0,0,0
41,41,-0.116034089934443,42,1.0,0,0
42,42,-0.8085777666604661,43,1.0,0,0
43,43,-0.4069178071271392,44,1.0,0,0
44,44,-0.7729545137505313,45,1.0,0,0
45,45,-0.6857436026753251,46,1.0,0,0
46,46,-0.0861732887262339,47,1.0,0,0
47,47,1.1185689058397692,48,1.0,0,0
48,48,1.3097785516494134,49,1.0,0,0
49,49,3.3689698506196413,50,1.0,0,0
50,50,3.150576626071797,51,1.0,0,0
51,51,3.09969461838086,52,1.0,0,0
52,52,3.960907280274221,53,1.0,0,0
53,53,4.184884647816115,54,1.0,0,0
54,54,3.821938360685434,55,1.0,0,0
55,55,2.4220420204789206,56,1.0,0,0
56,56,3.5831942453035657,57,1.0,0,0
57,57,2.0019517471699197,58,1.0,0,0
58,58,1.358939152607236,59,1.0,0,0
59,59,1.3048426805827524,60,1.0,0,0
60,60,2.5757018332885497,61,1.0,0,0
61,61,4.1991946492322665,62,1.0,0,0
62,62,3.3529370983284807,63,1.0,0,0
63,63,3.3644194559421985,64,1.0,0,0
64,64,1.8550353632069645,65,1.0,0,0
65,65,2.293882422128844,66,1.0,0,0
66,66,2.3190857466281978,67,1.0,0,0
67,67,0.9734358363502372,68,1.0,0,0
68,68,-0.4492131676400527,69,1.0,0,0
69,69,-1.5127619318549677,70,1.0,0,0
70,70,-2.6199193396213554,71,1.0,0,0
71,71,-2.7335178385037513,72,1.0,0,0
72,72,-2.6699221022661077,73,1.0,0,0
73,73,-2.51288289081363,74,1.0,0,0
74,74,-2.6826463422673337,75,1.0,0,0
75,75,-2.110183826107753,76,1.0,0,0
76,76,-1.1991587236549694,77,1.0,0,0
77,77,-2.0217102932242277,78,1.0,0,0
78,78,0.0966953800392342,79,1.0,0,0
79,79,1.9541917162692597,80,1.0,0,0
80,80,2.3239592016057635,81,1.0,0,0
81,81,3.0881670150780485,82,1.0,0,0
