,Date,N,windows,scaled_windows,MSE,RMSE
0,0,0.0,10.0,1.0,0.0,0.0
1,1,0.0,20.0,1.0,0.0,0.0
2,2,0.0,30.0,1.0,0.0,0.0
3,3,-0.0182896582280335,40.0,1.0,0.0,0.0
4,4,1.3621515359349838,50.0,1.0,0.0,0.0
5,5,2.12727791333435,60.0,1.0,0.0,0.0
6,6,1.916163259000669,70.0,1.0,0.0,0.0
7,7,1.6458893219998854,80.0,1.0,0.0,0.0
8,8,0.4349137122053013,90.0,1.0,0.0,0.0
9,9,-0.0918848950700568,100.0,1.0,0.0,0.0
10,10,-2.163877037196512,110.0,1.0,0.0,0.0
11,11,-1.3946937378808273,120.0,1.0,0.0,0.0
12,12,-0.8911062734412862,130.0,1.0,0.0,0.0
13,13,-0.4411755362945452,140.0,1.0,0.0,0.0
14,14,1.2638099102067035,150.0,1.0,0.0,0.0
15,15,1.0321745615256852,160.0,1.0,0.0,0.0
16,16,1.123435689326725,170.0,1.0,0.0,0.0
17,17,-0.085050866779456,180.0,1.0,0.0,0.0
18,18,-0.1393851202814509,190.0,1.0,0.0,0.0
19,19,0.9192293014145664,200.0,1.0,0.0,0.0
20,20,-0.1896048929276742,210.0,1.0,0.0,0.0
21,21,-1.2879813125655997,220.0,1.0,0.0,0.0
22,22,-1.6803197944636028,230.0,1.0,0.0,0.0
23,23,-0.7682535522240211,240.0,1.0,0.0,0.0
24,24,-2.129042515904638,250.0,1.0,0.0,0.0
25,25,-1.6693597405753309,260.0,1.0,0.0,0.0
26,26,-2.759042720824844,270.0,1.0,0.0,0.0
27,27,-2.603085842671713,280.0,1.0,0.0,0.0
28,28,-2.8981757304203803,290.0,1.0,0.0,0.0
29,29,-1.4405610241632492,300.0,1.0,0.0,0.0
30,30,-0.2016546974019226,310.0,1.0,0.0,0.0
31,31,-1.829204377334548,320.0,1.0,0.0,0.0
32,32,-3.548325264085051,330.0,1.0,0.0,0.0
33,33,-3.26458688090115,200.0,0.5882352941176471,0.0,0.0
34,34,-2.3245508420602192,350.0,1.0,0.0,0.0
35,35,-1.8145856239473368,360.0,1.0,0.0,0.0
36,36,-1.9422137095448928,370.0,1.0,0.0,0.0
37,37,-0.7548879991523056,380.0,1.0,0.0,0.0
38,38,-1.0823566085715075,390.0,1.0,0.0,0.0
39,39,-0.912900005609203,400.0,1.0,0.0,0.0
40,40,0.0690842110576752,410.0,1.0,0.0,0.0
41,41,-0.116034089934443,420.0,1.0,0.0,0.0
42,42,-0.8085777666604661,430.0,1.0,0.0,0.0
43,43,-0.4069178071271392,440.0,1.0,0.0,0.0
44,44,-0.7729545137505313,450.0,1.0,0.0,0.0
45,45,-0.6857436026753251,460.0,1.0,0.0,0.0
46,46,-0.0861732887262339,470.0,1.0,0.0,0.0
47,47,1.1185689058397692,480.0,1.0,0.0,0.0
48,48,1.3097785516494134,490.0,1.0,0.0,0.0
49,49,3.3689698506196413,500.0,1.0,0.0,0.0
50,50,3.150576626071797,510.0,1.0,0.0,0.0
51,51,3.09969461838086,400.0,0.7692307692307693,0.0,0.0
52,52,3.960907280274221,530.0,1.0,0.0,0.0
53,53,4.184884647816115,300.0,0.5555555555555556,0.0,0.0
54,54,3.821938360685434,550.0,1.0,0.0,0.0
55,55,2.4220420204789206,400.0,0.7142857142857143,0.0,0.0
56,56,3.5831942453035657,400.0,0.7017543859649122,0.0,0.0
57,57,2.0019517471699197,400.0,0.6896551724137931,0.0,0.0
58,58,1.358939152607236,200.0,0.3389830508474576,0.0,0.0
59,59,1.3048426805827524,300.0,0.5,0.0,0.0
60,60,2.5757018332885497,200.0,0.32786885245901637,0.0,0.0
61,61,4.1991946492322665,200.0,0.3225806451612903,0.0,0.0
