,Date,N,windows,scaled_windows,MSE,RMSE
0,0,327.5,1,1.0,0,0
1,1,330.45,2,1.0,0,0
2,2,317.4,3,1.0,0,0
3,3,310.9,4,1.0,0,0
4,4,294.99,5,1.0,0,0
5,5,290.56,6,1.0,0,0
6,6,287.06,7,1.0,0,0
7,7,290.06,8,1.0,0,0
8,8,297.45,9,1.0,0,0
9,9,293.96,10,1.0,0,0
10,10,300.41,11,1.0,0,0
11,11,277.7,12,1.0,0,0
12,12,277.75,13,1.0,0,0
13,13,265.93,14,1.0,0,0
14,14,251.16,15,1.0,0,0
15,15,232.2,16,1.0,0,0
16,16,224.57,17,1.0,0,0
17,17,237.27,18,1.0,0,0
18,18,263.23,19,1.0,0,0
19,19,297.4,20,1.0,0,0
20,20,332.42,21,1.0,0,0
21,21,360.06,22,1.0,0,0
22,22,342.41,23,1.0,0,0
23,23,321.55,24,1.0,0,0
24,24,287.0,25,1.0,0,0
25,25,285.63,26,1.0,0,0
26,26,266.43,27,1.0,0,0
27,27,254.75,28,1.0,0,0
28,28,247.65,29,1.0,0,0
29,29,242.79,30,1.0,0,0
30,30,238.13,31,1.0,0,0
31,31,227.92,32,1.0,0,0
32,32,229.0,33,1.0,0,0
33,33,230.28,34,1.0,0,0
34,34,224.27,35,1.0,0,0
35,35,218.76,36,1.0,0,0
36,36,177.26,37,1.0,0,0
37,37,123.25,38,1.0,0,0
38,38,62.84,39,1.0,0,0
39,39,43.48,40,1.0,0,0
40,40,42.55,41,1.0,0,0
41,41,69.93,42,1.0,0,0
42,42,173.45,43,1.0,0,0
43,43,239.83,44,1.0,0,0
44,44,287.45,45,1.0,0,0
45,45,324.09,46,1.0,0,0
46,46,313.46,47,1.0,0,0
47,47,286.08,48,1.0,0,0
48,48,268.0,49,1.0,0,0
49,49,259.98,50,1.0,0,0
50,50,244.05,51,1.0,0,0
51,51,239.83,52,1.0,0,0
52,52,239.24,53,1.0,0,0
53,53,239.83,54,1.0,0,0
54,54,264.61,55,1.0,0,0
55,55,219.0,56,1.0,0,0
56,56,236.39,57,1.0,0,0
57,57,229.0,58,1.0,0,0
58,58,210.85,59,1.0,0,0
59,59,206.84,60,1.0,0,0
60,60,211.74,61,1.0,0,0
61,61,178.0,62,1.0,0,0
62,62,147.9,63,1.0,0,0
63,63,154.83,64,1.0,0,0
64,64,187.12,65,1.0,0,0
65,65,209.0,66,1.0,0,0
66,66,243.91,67,1.0,0,0
67,67,287.0,68,1.0,0,0
68,68,361.46,69,1.0,0,0
69,69,378.11,70,1.0,0,0
70,70,333.66,71,1.0,0,0
71,71,329.0,72,1.0,0,0
72,72,279.72,73,1.0,0,0
73,73,226.06,74,1.0,0,0
74,74,179.78,75,1.0,0,0
75,75,121.49,76,1.0,0,0
76,76,96.84,77,1.0,0,0
77,77,108.34,78,1.0,0,0
78,78,196.5,79,1.0,0,0
79,79,287.0,80,1.0,0,0
80,80,310.26,81,1.0,0,0
81,81,310.64,82,1.0,0,0
82,82,279.0,83,1.0,0,0
83,83,255.1,84,1.0,0,0
84,84,246.24,85,1.0,0,0
85,85,252.87,86,1.0,0,0
86,86,233.34,87,1.0,0,0
87,87,201.96,88,1.0,0,0
88,88,210.58,89,1.0,0,0
89,89,238.58,90,1.0,0,0
90,90,280.66,91,1.0,0,0
91,91,287.0,92,1.0,0,0
92,92,319.0,93,1.0,0,0
93,93,341.77,94,1.0,0,0
94,94,284.3,95,1.0,0,0
95,95,261.01,96,1.0,0,0
96,96,224.07,97,1.0,0,0
97,97,161.28,98,1.0,0,0
98,98,178.0,99,1.0,0,0
99,99,171.09,100,1.0,0,0
100,100,178.0,101,1.0,0,0
101,101,201.91,102,1.0,0,0
102,102,240.93,103,1.0,0,0
103,103,322.65,104,1.0,0,0
104,104,350.06,105,1.0,0,0
105,105,344.73,106,1.0,0,0
106,106,320.41,107,1.0,0,0
107,107,297.57,108,1.0,0,0
108,108,275.8,109,1.0,0,0
109,109,272.34,110,1.0,0,0
110,110,261.03,111,1.0,0,0
111,111,251.65,112,1.0,0,0
112,112,260.0,113,1.0,0,0
113,113,287.21,114,1.0,0,0
114,114,288.38,115,1.0,0,0
115,115,295.48,116,1.0,0,0
116,116,325.13,117,1.0,0,0
117,117,363.79,118,1.0,0,0
118,118,337.34,119,1.0,0,0
119,119,321.91,120,1.0,0,0
120,120,286.42,121,1.0,0,0
121,121,267.16,122,1.0,0,0
122,122,249.86,123,1.0,0,0
123,123,244.06,124,1.0,0,0
124,124,246.33,125,1.0,0,0
125,125,254.6,126,1.0,0,0
126,126,280.8,127,1.0,0,0
127,127,323.27,128,1.0,0,0
128,128,370.06,129,1.0,0,0
129,129,378.83,130,1.0,0,0
130,130,330.06,131,1.0,0,0
131,131,292.53,132,1.0,0,0
132,132,286.47,133,1.0,0,0
133,133,279.08,134,1.0,0,0
134,134,274.31,135,1.0,0,0
135,135,271.79,136,1.0,0,0
136,136,283.81,137,1.0,0,0
137,137,303.15,138,1.0,0,0
138,138,339.28,139,1.0,0,0
139,139,394.1,140,1.0,0,0
140,140,447.6,141,1.0,0,0
141,141,459.51,142,1.0,0,0
142,142,401.93,143,1.0,0,0
143,143,387.55,144,1.0,0,0
144,144,339.87,144,0.993103448275862,0,0
145,145,344.29,146,1.0,0,0
146,146,319.0,147,1.0,0,0
147,147,295.5,148,1.0,0,0
148,148,297.0,149,1.0,0,0
149,149,307.15,150,1.0,0,0
150,150,319.0,144,0.9536423841059603,0,0
151,151,367.88,152,1.0,0,0
152,152,441.52,153,1.0,0,0
153,153,444.5,154,1.0,0,0
154,154,392.6,155,1.0,0,0
155,155,323.36,156,1.0,0,0
156,156,296.92,157,1.0,0,0
157,157,290.72,158,1.0,0,0
158,158,259.86,159,1.0,0,0
159,159,245.0,160,1.0,0,0
160,160,239.0,161,1.0,0,0
161,161,215.0,162,1.0,0,0
162,162,227.26,144,0.8834355828220859,0,0
163,163,268.0,144,0.8780487804878049,0,0
164,164,315.37,144,0.8727272727272727,0,0
165,165,366.37,166,1.0,0,0
166,166,335.0,167,1.0,0,0
167,167,332.08,168,1.0,0,0
168,168,290.6,144,0.8520710059171598,0,0
169,169,317.2,170,1.0,0,0
170,170,319.64,171,1.0,0,0
171,171,309.64,172,1.0,0,0
172,172,297.71,173,1.0,0,0
173,173,290.06,174,1.0,0,0
174,174,277.73,175,1.0,0,0
175,175,269.95,176,1.0,0,0
176,176,271.85,177,1.0,0,0
177,177,265.63,178,1.0,0,0
178,178,246.3,179,1.0,0,0
179,179,231.49,144,0.8,0,0
180,180,233.52,181,1.0,0,0
181,181,221.2,182,1.0,0,0
