k,n_k,n_k_plus1,j_start,j_end,critical_value_95,critical_value_99,mean,std,adjustment_factor,penalty_factor
1,237,336,99,168,134.7524167429814,168.6529673610691,92.5584487915039,14.440103530883789,1.2203292881782941,0.1
2,336,475,139,238,229.59162761233935,249.96589327037282,161.48025512695312,20.77009391784668,1.2122604179795966,0.1
3,475,672,197,336,324.82970823179005,333.7203927400012,237.20233154296875,17.019851684570312,1.2039422678116498,0.1
4,672,950,278,475,442.5290461530876,467.05452889789643,333.40679931640625,17.74945068359375,1.1952511542482491,0.1
5,950,1344,394,672,611.9010185817772,649.107400068914,475.54278564453125,23.115686416625977,1.1861745868655527,0.1
6,1344,1900,556,950,859.3462725310277,910.7765516046321,679.0413208007812,29.32808494567871,1.1766112720912063,0.1
7,1900,2688,788,1344,1223.7961253386698,1273.7690243647155,961.3134155273438,43.806053161621094,1.1665217853284062,0.1
8,2688,3801,1113,1901,2077.211625483411,3312.6073344367023,1428.9591064453125,244.17083740234375,1.1557564432826928,0.1
9,3801,5376,1575,2688,2332.849792547842,2491.0643615473955,1925.102294921875,71.76606750488281,1.144206109269381,0.1
10,5376,7602,2226,3801,3215.5701969499432,3288.295628782132,2699.8837890625,71.5861587524414,1.1316381320836604,0.1
11,7602,10752,3150,5376,4642.005604648779,5025.690197982271,3837.132080078125,156.22572326660156,1.1177451916003927,0.1
12,10752,15205,4453,7603,6474.271535548707,6825.22197425942,5437.04248046875,222.0767364501953,1.1019662984170544,0.1
13,15205,21504,6299,10752,8631.919952394628,9019.365381272219,7620.9150390625,184.14793395996094,1.0832574359405238,0.1
14,21504,30411,8907,15206,12267.959079546072,12566.39698489217,10837.3759765625,323.935302734375,1.0588698072637948,0.1
15,30411,43008,12597,21504,16141.806640625,16665.849609375,15256.638671875,393.77288818359375,1.0,0.1
