,Date,N,windows,scaled_windows,MSE,RMSE
0,0,-1.1679685961332495,1,1.0,0,0
1,1,-0.1524412332806949,2,1.0,0,0
2,2,2.415281110884729,3,1.0,0,0
3,3,0.2996176361088502,4,1.0,0,0
4,4,-2.0398531011052254,5,1.0,0,0
5,5,0.1006420457305298,6,1.0,0,0
6,6,-0.5151985277864466,7,1.0,0,0
7,7,0.0038909549656935,8,1.0,0,0
8,8,-1.6174328605869477,9,1.0,0,0
9,9,0.1529759930230763,10,1.0,0,0
10,10,0.0871912812659728,11,1.0,0,0
11,11,1.697453441919348,12,1.0,0,0
12,12,-0.0839459520262266,13,1.0,0,0
13,13,0.5826725118140118,14,1.0,0,0
14,14,-1.5922956827652148,15,1.0,0,0
15,15,2.8012157506401554,16,1.0,0,0
16,16,-3.0713988436204818,17,1.0,0,0
17,17,1.6491664629325251,18,1.0,0,0
18,18,0.2957415354742325,19,1.0,0,0
19,19,-0.8736037468507245,20,1.0,0,0
20,20,-0.088672012259732,21,1.0,0,0
21,21,-0.8322014615039603,22,1.0,0,0
22,22,-0.2315982667291946,23,1.0,0,0
23,23,0.1517824508468346,24,1.0,0,0
24,24,2.1958653916034474,25,1.0,0,0
25,25,-1.6241894826357746,26,1.0,0,0
26,26,-0.3863025680351917,27,1.0,0,0
27,27,-1.049104361860578,28,1.0,0,0
28,28,0.8248825523892775,29,1.0,0,0
29,29,-2.7809761345283786,30,1.0,0,0
30,30,-1.3171581017153025,31,1.0,0,0
31,31,-0.6285379881173812,32,1.0,0,0
32,32,-1.2927126638929558,33,1.0,0,0
33,33,0.0015099887367115,34,1.0,0,0
34,34,-0.9215158849512446,35,1.0,0,0
35,35,0.2120942805588553,36,1.0,0,0
36,36,1.007913690351486,37,1.0,0,0
37,37,-0.5052030607262142,38,1.0,0,0
38,38,-0.8218310373082759,39,1.0,0,0
39,39,-0.5066440810371973,40,1.0,0,0
40,40,0.623565645711204,41,1.0,0,0
41,41,1.211308056281401,42,1.0,0,0
42,42,-0.6107788813229661,43,1.0,0,0
43,43,-1.7165797562867455,44,1.0,0,0
44,44,-0.4363991608888605,45,1.0,0,0
45,45,-0.0515699793866232,46,1.0,0,0
46,46,-0.7448203127653772,47,1.0,0,0
47,47,-0.1715383371125736,48,1.0,0,0
48,48,2.464390964499031,49,1.0,0,0
49,49,-0.2617446094360354,50,1.0,0,0
50,50,-0.5136518417826079,51,1.0,0,0
51,51,0.6236941002052947,52,1.0,0,0
52,52,-0.1540370534064673,53,1.0,0,0
53,53,-0.5098015641181559,54,1.0,0,0
54,54,0.6682744787205744,55,1.0,0,0
55,55,1.373811826346632,56,1.0,0,0
56,56,-2.137502836625526,57,1.0,0,0
57,57,2.005023832995599,58,1.0,0,0
58,58,-0.0789142471031139,59,1.0,0,0
59,59,0.8360460225907627,60,1.0,0,0
60,60,2.131759817695911,61,1.0,0,0
61,61,1.4577227875250078,62,1.0,0,0
62,62,1.635630632450476,63,1.0,0,0
63,63,0.4468427803364813,64,1.0,0,0
64,64,0.6754326680333159,65,1.0,0,0
65,65,0.0953075009126368,66,1.0,0,0
66,66,-1.8720825338172584,67,1.0,0,0
67,67,1.8518302283224757,68,1.0,0,0
68,68,-1.490971473578201,69,1.0,0,0
69,69,-1.8841343420177423,70,1.0,0,0
70,70,3.267252373663184,71,1.0,0,0
71,71,0.4945779098995631,72,1.0,0,0
72,72,-0.5632107988998949,73,1.0,0,0
73,73,2.4986941569501786,74,1.0,0,0
74,74,0.0514858360555913,75,1.0,0,0
75,75,0.7539752668770382,76,1.0,0,0
76,76,-1.818201296799012,77,1.0,0,0
77,77,-0.0275899988527493,78,1.0,0,0
78,78,-2.6462319330514386,79,1.0,0,0
79,79,-1.5960395592317052,80,1.0,0,0
80,80,-0.8669617077455287,81,1.0,0,0
81,81,-0.4426399846565655,82,1.0,0,0
82,82,1.3109620978967258,83,1.0,0,0
83,83,3.769128140601067,84,1.0,0,0
84,84,-0.4738758463867216,85,1.0,0,0
85,85,0.3603621250079732,86,1.0,0,0
86,86,-1.1459981560265315,87,1.0,0,0
87,87,-1.326982671308665,88,1.0,0,0
88,88,-1.4114467239438,89,1.0,0,0
89,89,-2.226540018726475,90,1.0,0,0
90,90,-0.9103290569769468,91,1.0,0,0
91,91,-0.95523930329353,92,1.0,0,0
92,92,-0.4959823515253407,93,1.0,0,0
93,93,-0.8640092861966728,94,1.0,0,0
94,94,1.0628337311566156,95,1.0,0,0
95,95,-0.4216005713758795,96,1.0,0,0
96,96,0.041335922288173,97,1.0,0,0
97,97,1.3554067121896582,98,1.0,0,0
98,98,0.6735321077120409,99,1.0,0,0
99,99,-0.7801155501366689,100,1.0,0,0
100,100,-0.7948216817551768,101,1.0,0,0
101,101,-0.5890375059083911,102,1.0,0,0
102,102,1.1442352882627265,103,1.0,0,0
103,103,0.0254633252932583,104,1.0,0,0
104,104,0.2186838513560189,105,1.0,0,0
105,105,0.9137855510515074,106,1.0,0,0
106,106,-1.2202429484183566,107,1.0,0,0
107,107,-0.0311031652762627,108,1.0,0,0
108,108,-1.78068028806144,109,1.0,0,0
109,109,2.69975228509245,110,1.0,0,0
