,Date,N,windows,scaled_windows,MSE,RMSE
0,0,0.1715814103831417,1,1.0,0,0
1,1,-0.3911058750422239,2,1.0,0,0
2,2,-0.3024254248275053,3,1.0,0,0
3,3,-0.3709801927144364,4,1.0,0,0
4,4,1.7515860509741157,5,1.0,0,0
5,5,2.5797151377756027,6,1.0,0,0
6,6,-0.8258829268137062,7,1.0,0,0
7,7,-0.7601860940694096,8,1.0,0,0
8,8,-0.9891064924875296,9,1.0,0,0
9,9,1.478361128286263,10,1.0,0,0
10,10,0.0259885555100877,11,1.0,0,0
11,11,-0.3205151517673416,12,1.0,0,0
12,12,-0.2384571917504978,13,1.0,0,0
13,13,-0.2166313850711738,14,1.0,0,0
14,14,-0.0846747913794543,15,1.0,0,0
15,15,-0.1695199190243901,16,1.0,0,0
16,16,-0.8193288697892651,17,1.0,0,0
17,17,3.1163593761585355,18,1.0,0,0
18,18,-0.5716635366513915,19,1.0,0,0
19,19,-0.8699843348741583,20,1.0,0,0
20,20,-0.8136497336681091,21,1.0,0,0
21,21,-0.9296208507406354,22,1.0,0,0
22,22,-0.7913079601721787,23,1.0,0,0
23,23,-0.8819572715994118,24,1.0,0,0
24,24,-0.9123067293530543,25,1.0,0,0
25,25,-0.8286514214989585,26,1.0,0,0
26,26,-0.7391901350427187,27,1.0,0,0
27,27,-0.7304691349394324,28,1.0,0,0
28,28,-0.354949308653407,29,1.0,0,0
29,29,-0.365071090793458,30,1.0,0,0
30,30,-0.6008888587851766,31,1.0,0,0
31,31,0.0014173939181303,32,1.0,0,0
32,32,-0.1080747382254216,33,1.0,0,0
33,33,0.3585367576376643,34,1.0,0,0
34,34,-0.096929710680756,35,1.0,0,0
35,35,0.1611514863781398,36,1.0,0,0
36,36,2.961700094840709,37,1.0,0,0
37,37,3.285911497091412,38,1.0,0,0
38,38,0.7406869672417193,39,1.0,0,0
39,39,0.5347214487702813,40,1.0,0,0
40,40,0.3762229873729538,41,1.0,0,0
41,41,0.3450262080813848,42,1.0,0,0
42,42,0.0448280443032213,43,1.0,0,0
43,43,-0.1119901929740946,44,1.0,0,0
44,44,-0.3581668273117107,45,1.0,0,0
45,45,-0.5784096584012368,46,1.0,0,0
46,46,-0.4176003296816861,47,1.0,0,0
47,47,-0.9641115062672464,48,1.0,0,0
48,48,-0.7450861842153138,49,1.0,0,0
49,49,-0.5354414193693015,50,1.0,0,0
50,50,-0.8625496599945581,51,1.0,0,0
51,51,-1.029140729298593,52,1.0,0,0
52,52,-0.9200398929556336,53,1.0,0,0
53,53,-0.9129299077033468,54,1.0,0,0
54,54,-0.5959816704596874,55,1.0,0,0
55,55,-1.2517101783808418,56,1.0,0,0
56,56,3.0242041809915285,57,1.0,0,0
57,57,0.9149176082214712,58,1.0,0,0
58,58,-0.6873267943607451,59,1.0,0,0
59,59,-0.1321739894706359,60,1.0,0,0
60,60,5.573710149017686,61,1.0,0,0
61,61,0.0404266878617249,62,1.0,0,0
62,62,0.5439347689446942,63,1.0,0,0
63,63,0.5583831223793503,64,1.0,0,0
64,64,0.4919097291476636,65,1.0,0,0
65,65,0.3933563344829016,66,1.0,0,0
66,66,0.3298728216189726,67,1.0,0,0
67,67,0.0548699097814786,68,1.0,0,0
68,68,0.0677934500712348,69,1.0,0,0
69,69,0.3520071314899869,70,1.0,0,0
70,70,0.6364714283305063,71,1.0,0,0
71,71,0.399715471458147,72,1.0,0,0
72,72,0.5794417551479746,73,1.0,0,0
73,73,0.6564463213432703,74,1.0,0,0
74,74,4.98656019163843,75,1.0,0,0
75,75,0.2871142046052576,76,1.0,0,0
76,76,-0.1652511163349603,77,1.0,0,0
77,77,3.230668513505706,78,1.0,0,0
78,78,-0.0602542970604241,79,1.0,0,0
79,79,0.3663570230655995,80,1.0,0,0
80,80,-0.1150422098477953,81,1.0,0,0
81,81,-0.2813460789563497,82,1.0,0,0
82,82,-0.492513769468371,83,1.0,0,0
83,83,-0.5713597302097447,84,1.0,0,0
84,84,-0.6338438571494676,85,1.0,0,0
85,85,-0.8384335450424727,86,1.0,0,0
86,86,-1.238752575968064,87,1.0,0,0
87,87,0.9512098887502036,88,1.0,0,0
88,88,-0.8258960048383797,89,1.0,0,0
89,89,-0.9847385661424306,90,1.0,0,0
90,90,1.7798734457361196,91,1.0,0,0
91,91,-0.7890101347235919,92,1.0,0,0
92,92,-0.4069182410533156,93,1.0,0,0
93,93,-0.2453442505363542,94,1.0,0,0
94,94,-0.0036156644826649,95,1.0,0,0
95,95,-0.1996640514897853,96,1.0,0,0
96,96,0.0308744718914708,97,1.0,0,0
97,97,-0.4924230890438542,98,1.0,0,0
98,98,-0.7690318816798183,99,1.0,0,0
99,99,-0.6222500894851147,100,1.0,0,0
100,100,-0.7132941534411504,101,1.0,0,0
101,101,-0.2649759600200853,102,1.0,0,0
102,102,3.5961391319126874,103,1.0,0,0
103,103,-0.9405385906821162,104,1.0,0,0
104,104,0.5864864240686448,105,1.0,0,0
105,105,2.3270732814049966,106,1.0,0,0
106,106,-0.7266998505121965,107,1.0,0,0
107,107,-1.0684433756773482,108,1.0,0,0
108,108,5.213801352242405,109,1.0,0,0
109,109,-1.0589011599208202,110,1.0,0,0
110,110,-0.8124088256985871,111,1.0,0,0
111,111,-0.7209194093190714,112,1.0,0,0
112,112,-0.499075745668452,113,1.0,0,0
113,113,-0.975917812235898,114,1.0,0,0
114,114,-0.8880452865793598,115,1.0,0,0
115,115,-0.780467264468796,116,1.0,0,0
116,116,-0.4868468079685902,117,1.0,0,0
117,117,3.4121559563195434,118,1.0,0,0
118,118,-0.5378981914196723,119,1.0,0,0
119,119,-0.5330194256111896,120,1.0,0,0
120,120,-0.5336581438347575,121,1.0,0,0
121,121,-0.9387461273137192,122,1.0,0,0
122,122,6.489705132401051,123,1.0,0,0
123,123,-0.5232529588653109,124,1.0,0,0
124,124,2.6521963887220843,125,1.0,0,0
125,125,-0.955650486063689,126,1.0,0,0
126,126,-0.7684998646518351,127,1.0,0,0
127,127,-1.2000372726642132,128,1.0,0,0
128,128,-0.7143647762066372,129,1.0,0,0
129,129,-0.617656975964104,130,1.0,0,0
130,130,0.1448768609489971,131,1.0,0,0
131,131,-0.6568602977969183,132,1.0,0,0
132,132,-1.1573876780396577,133,1.0,0,0
133,133,-1.2771486788029702,134,1.0,0,0
134,134,-1.26520503348015,135,1.0,0,0
135,135,-1.650099031283526,136,1.0,0,0
136,136,0.5375018391215229,137,1.0,0,0
137,137,-1.1101630402373122,138,1.0,0,0
138,138,-1.6112566384702656,139,1.0,0,0
139,139,-1.2748794730940656,140,1.0,0,0
140,140,-1.830463215434805,141,1.0,0,0
141,141,-1.541926305030899,142,1.0,0,0
142,142,-1.2584301224623444,143,1.0,0,0
143,143,-1.1472764035266354,144,1.0,0,0
144,144,-0.7706125161769017,145,1.0,0,0
145,145,-0.2929936061575816,146,1.0,0,0
146,146,-0.8308162340877765,147,1.0,0,0
147,147,1.0390635506040529,148,1.0,0,0
148,148,-0.4432535010943986,149,1.0,0,0
149,149,-0.342771250231806,150,1.0,0,0
150,150,0.1206623809870067,150,0.9933774834437086,0,0
151,151,1.670038813311716,152,1.0,0,0
152,152,0.4276325450383434,153,1.0,0,0
153,153,0.6729992591755829,150,0.974025974025974,0,0
154,154,0.6101356403455152,155,1.0,0,0
155,155,0.7532211437626685,150,0.9615384615384616,0,0
156,156,0.4596416015955837,150,0.9554140127388535,0,0
157,157,0.6041191346396525,158,1.0,0,0
158,158,0.6169720161671319,159,1.0,0,0
159,159,0.5389618987301181,150,0.9375,0,0
160,160,0.4006760848955862,150,0.9316770186335404,0,0
