dataset,method,ablation_mif,ablation_lif,mif_lif_ratio
piecewise_ar3,Vanilla SHAP,1.0875816363356037,0.510964394797762,2.128488104863089
piecewise_ar3,TimeShap,0.7916163549961929,0.6425979069335188,1.2318999897988947
piecewise_ar3,Rolling SHAP,0.8291652689129114,0.3127972248675568,2.6508076254960153
piecewise_ar3,Adaptive (Max),1.4849960966730105,0.3691624464855944,4.022608775107244
piecewise_ar3,Adaptive (Mean),1.5240601170601444,0.2817551956176994,5.409164199151348
piecewise_ar3,Adaptive SHAP,1.4253301232052829,0.2693414376599436,5.291908053913449
piecewise_ar3,Adaptive (Smoothed),1.4287403628115625,0.2741993120687957,5.210590617576371
arx_rotating,Vanilla SHAP,0.0982868921462105,0.2648708216880828,0.37107481873543297
arx_rotating,TimeShap,0.2238499501803435,0.0854087355661746,2.6209257015273897
arx_rotating,Rolling SHAP,0.2594283431741808,0.2114656467123755,1.226810818719135
arx_rotating,Adaptive (Max),0.0545662160587484,0.2296620637964169,0.23759351090356143
arx_rotating,Adaptive (Mean),0.060202168727604,0.2429547155201205,0.24779172776590255
arx_rotating,Adaptive SHAP,0.0809158481403677,0.2979925913075526,0.2715364425179818
arx_rotating,Adaptive (Smoothed),0.0796332241346438,0.2952323059415172,0.26973072571000545
trend_season,Vanilla SHAP,1.0158607014314922,0.601732941273458,1.688225177238275
trend_season,TimeShap,0.6637655303240539,0.791872832901731,0.8382223795855681
trend_season,Rolling SHAP,0.513442709900971,0.4012018719688058,1.2797615010652097
trend_season,Adaptive (Max),1.4202326426677632,0.5944488145411014,2.3891588441708724
trend_season,Adaptive (Mean),1.2704554014089335,0.5866670009873614,2.165547745604841
trend_season,Adaptive SHAP,1.1557178505227896,0.4800540808023376,2.4074742757965573
trend_season,Adaptive (Smoothed),1.167586882503513,0.4916652912845115,2.3747596244858102
spike_process,Vanilla SHAP,0.2099862763597197,0.308160487236424,0.6814185629146413
spike_process,TimeShap,0.2587408293548749,0.2809128058450912,0.9210716776562938
spike_process,Rolling SHAP,0.1579998698085546,0.116763726474185,1.3531588497519083
spike_process,Adaptive (Max),0.2064382686544253,0.2138442678235703,0.9653673243406494
spike_process,Adaptive (Mean),0.1841039710786318,0.168142270922533,1.0949297286668187
spike_process,Adaptive SHAP,0.195148260782441,0.1489575472371073,1.3100931399723463
spike_process,Adaptive (Smoothed),0.1955187912848725,0.1469290565354681,1.330702012897463
garch_regime,Vanilla SHAP,0.0380332546036508,0.0380332546036508,1.0
garch_regime,TimeShap,0.0468803305052135,0.0468803305052135,1.0
garch_regime,Rolling SHAP,0.0988934753821896,0.0988934753821896,1.0
garch_regime,Adaptive (Max),0.0724036589877295,0.0724036589877295,1.0
garch_regime,Adaptive (Mean),0.0858258142897896,0.0858258142897896,1.0
garch_regime,Adaptive SHAP,0.1134443776576398,0.1134443776576398,1.0
garch_regime,Adaptive (Smoothed),0.1167348179314222,0.1167348179314222,1.0
