dataset,method,feature,pearson,spearman
piecewise_ar3,Vanilla SHAP,lag_t-1,0.2159122084527993,0.15864178599261514
piecewise_ar3,Vanilla SHAP,lag_t-2,0.1400950173591962,0.08776688676754485
piecewise_ar3,Vanilla SHAP,lag_t-3,0.07808106104139964,0.029036058334446436
piecewise_ar3,TimeShap,lag_t-1,0.010716533410945191,0.00458187787822651
piecewise_ar3,TimeShap,lag_t-2,0.10114490473167986,0.04398340566938466
piecewise_ar3,TimeShap,lag_t-3,0.04822454851706228,0.006824100140074086
piecewise_ar3,Rolling SHAP,lag_t-1,0.5144737924570417,0.48240786300013844
piecewise_ar3,Rolling SHAP,lag_t-2,0.19518113679406213,0.12039079588990724
piecewise_ar3,Rolling SHAP,lag_t-3,0.5631368007727396,0.5114556300637514
piecewise_ar3,Adaptive (Max),lag_t-1,0.3657791188347096,0.3367642813686474
piecewise_ar3,Adaptive (Max),lag_t-2,0.2299117756756457,0.1647336865215517
piecewise_ar3,Adaptive (Max),lag_t-3,,
piecewise_ar3,Adaptive (Mean),lag_t-1,0.6929106661390608,0.7331665660604249
piecewise_ar3,Adaptive (Mean),lag_t-2,0.378145902188356,0.4324725296716525
piecewise_ar3,Adaptive (Mean),lag_t-3,0.5954034069972705,0.5722018379367944
piecewise_ar3,Adaptive SHAP,lag_t-1,0.5056117979710721,0.48055967508786857
piecewise_ar3,Adaptive SHAP,lag_t-2,0.594532747738188,0.5536829063762173
piecewise_ar3,Adaptive SHAP,lag_t-3,0.6865684818361577,0.6533703956191007
piecewise_ar3,Adaptive (Smoothed),lag_t-1,0.5033776355451565,0.4840304967424049
piecewise_ar3,Adaptive (Smoothed),lag_t-2,0.5963735922454904,0.5556002157887799
piecewise_ar3,Adaptive (Smoothed),lag_t-3,0.6945663998216807,0.6494315226820291
arx_rotating,Vanilla SHAP,lag_t-1,0.35347261139026537,0.21850137540994782
arx_rotating,Vanilla SHAP,lag_t-2,0.36960232513948066,0.22254700143924402
arx_rotating,Vanilla SHAP,lag_t-3,0.3679824347820798,0.21501268997415762
arx_rotating,Vanilla SHAP,Z_0,0.0001304173763231227,0.00337286922597815
arx_rotating,Vanilla SHAP,Z_1,0.052274419180740044,0.037354267739873034
arx_rotating,Vanilla SHAP,Z_2,0.08535466806579686,0.06481757873779768
arx_rotating,TimeShap,lag_t-1,0.04899670139493437,0.0330243604818585
arx_rotating,TimeShap,lag_t-2,0.03758315359601778,0.03446473775730265
arx_rotating,TimeShap,lag_t-3,0.059720747190529014,0.02875911661780006
arx_rotating,Rolling SHAP,lag_t-1,0.4343685284820837,0.2381386714892158
arx_rotating,Rolling SHAP,lag_t-2,0.4073176049480357,0.22347971849352546
arx_rotating,Rolling SHAP,lag_t-3,0.35349221502228423,0.2157468898201629
arx_rotating,Rolling SHAP,Z_0,0.49329223542563183,0.5145873602376994
arx_rotating,Rolling SHAP,Z_1,0.601176734140647,0.5972884065168097
arx_rotating,Rolling SHAP,Z_2,0.4561540592128012,0.36878738743099265
arx_rotating,Adaptive (Max),lag_t-1,0.4371165665060297,0.4322151206187509
arx_rotating,Adaptive (Max),lag_t-2,0.43471444862163705,0.4618619183907953
arx_rotating,Adaptive (Max),lag_t-3,0.45105692891004895,0.4175987042419855
arx_rotating,Adaptive (Max),Z_0,0.1411028035102524,0.20056924212732946
arx_rotating,Adaptive (Max),Z_1,0.5689672567971933,0.6311533945001256
arx_rotating,Adaptive (Max),Z_2,0.3048247276435999,0.23689103187188243
arx_rotating,Adaptive (Mean),lag_t-1,0.377951795264573,0.19889945183740382
arx_rotating,Adaptive (Mean),lag_t-2,0.4840748047222504,0.286075228161383
arx_rotating,Adaptive (Mean),lag_t-3,0.5335525119093902,0.3451085493693363
arx_rotating,Adaptive (Mean),Z_0,0.437153934919892,0.5173374061053041
arx_rotating,Adaptive (Mean),Z_1,0.6435017401310472,0.6632857853037062
arx_rotating,Adaptive (Mean),Z_2,0.5725465257587175,0.2890353167346198
arx_rotating,Adaptive SHAP,lag_t-1,0.3336967290162176,0.1794434355124411
arx_rotating,Adaptive SHAP,lag_t-2,0.36576357089207523,0.18489224663579423
arx_rotating,Adaptive SHAP,lag_t-3,0.3616923208648337,0.19473477549871368
arx_rotating,Adaptive SHAP,Z_0,0.379607439284399,0.24829946603063732
arx_rotating,Adaptive SHAP,Z_1,0.19060127172799635,0.1812353957520315
arx_rotating,Adaptive SHAP,Z_2,0.17516611638440072,0.14853391842001637
arx_rotating,Adaptive (Smoothed),lag_t-1,0.33901737436240076,0.1854886402007515
arx_rotating,Adaptive (Smoothed),lag_t-2,0.3626108734890995,0.18731695608100854
arx_rotating,Adaptive (Smoothed),lag_t-3,0.3544370736911487,0.1980568102671223
arx_rotating,Adaptive (Smoothed),Z_0,0.380585299854632,0.2450364869866547
arx_rotating,Adaptive (Smoothed),Z_1,0.23512201043824751,0.21783363140808798
arx_rotating,Adaptive (Smoothed),Z_2,0.2095974402537267,0.17204588358372158
trend_season,Vanilla SHAP,lag_t-1,0.17628663366356787,0.041869449137584884
trend_season,Vanilla SHAP,lag_t-2,0.08640359311759366,0.09511493412304114
trend_season,Vanilla SHAP,lag_t-3,0.31737974194278046,0.191767311335447
trend_season,TimeShap,lag_t-1,0.46006621307820617,0.4567784834681178
trend_season,TimeShap,lag_t-2,0.020174326431089393,0.03916882870006082
trend_season,TimeShap,lag_t-3,0.39994188617204823,0.3214559949242909
trend_season,Rolling SHAP,lag_t-1,0.2919909292815242,0.3459349607319722
trend_season,Rolling SHAP,lag_t-2,0.23744311397876572,0.2539423614031237
trend_season,Rolling SHAP,lag_t-3,0.36002895908734034,0.4172473261401292
trend_season,Adaptive (Max),lag_t-1,0.5149959201759134,0.5270611830305628
trend_season,Adaptive (Max),lag_t-2,0.35789482670635886,0.35426779680504344
trend_season,Adaptive (Max),lag_t-3,,
trend_season,Adaptive (Mean),lag_t-1,0.4050342673406175,0.41289373036387117
trend_season,Adaptive (Mean),lag_t-2,0.27366764989445147,0.23026175829506818
trend_season,Adaptive (Mean),lag_t-3,0.3183788303657036,0.2690035187579089
