Date,N,windows,scaled_windows,MSE,RMSE
0,-0.3213302059979039,1,1.0,0,0
1,-0.7748586636649437,2,1.0,0,0
2,0.9794720292295424,3,1.0,0,0
3,2.841089819715675,4,1.0,0,0
4,2.7142106328853437,5,1.0,0,0
5,1.2232297406885793,6,1.0,0,0
6,1.3566781863861312,7,1.0,0,0
7,1.3024377637072306,8,1.0,0,0
8,0.3199765982856368,9,1.0,0,0
9,1.843977995355346,10,1.0,0,0
10,2.6713415137022696,11,1.0,0,0
11,1.0166071701209145,12,1.0,0,0
12,1.8435337977281767,13,1.0,0,0
13,0.2672532175162323,14,1.0,0,0
14,-0.1643434520205393,15,1.0,0,0
15,-1.0149892833254224,16,1.0,0,0
16,-1.654869144782194,17,1.0,0,0
17,-1.5001508578640153,18,1.0,0,0
18,-1.8505428858369672,19,1.0,0,0
19,-2.0131534161213085,20,1.0,0,0
20,-0.531951233150239,21,1.0,0,0
21,-0.8183737885908939,22,1.0,0,0
22,-0.3392564050656736,23,1.0,0,0
23,-1.8539838546694745,24,1.0,0,0
24,-1.4876084271368992,25,1.0,0,0
25,-0.6636771389731895,26,1.0,0,0
26,-0.5071830776519599,27,1.0,0,0
27,-1.0661117169118046,28,1.0,0,0
28,0.0798488709299242,29,1.0,0,0
29,1.5088116972977752,30,1.0,0,0
30,1.4981684038271312,31,1.0,0,0
31,2.9637682334185733,32,1.0,0,0
32,4.014862901456782,33,1.0,0,0
33,3.940217881738634,34,1.0,0,0
34,3.9659504547344664,35,1.0,0,0
35,4.642474738979577,36,1.0,0,0
36,4.874989365958209,37,1.0,0,0
37,3.430474292685612,38,1.0,0,0
38,3.001514481802802,39,1.0,0,0
39,3.988283105938811,40,1.0,0,0
40,2.255332702336574,41,1.0,0,0
41,2.0884330310065855,42,1.0,0,0
42,1.215028757673251,43,1.0,0,0
43,1.508734983784283,44,1.0,0,0
44,2.1566147659896093,45,1.0,0,0
45,3.2017158822656357,46,1.0,0,0
46,4.5649742402156175,47,1.0,0,0
47,5.46290904640923,48,1.0,0,0
48,4.480971684788707,49,1.0,0,0
49,4.21179417366487,50,1.0,0,0
50,4.506065237054361,51,1.0,0,0
51,3.731555752543338,52,1.0,0,0
52,3.0161803129695444,53,1.0,0,0
53,1.963099316866145,54,1.0,0,0
54,2.582533726924338,55,1.0,0,0
55,1.1739974923896517,56,1.0,0,0
56,1.9335017757992443,57,1.0,0,0
57,1.228324736244253,58,1.0,0,0
58,3.434756295878609,59,1.0,0,0
59,2.556174103056036,60,1.0,0,0
60,2.5829525449359996,61,1.0,0,0
61,3.3568997570707855,62,1.0,0,0
62,1.6590810301418135,63,1.0,0,0
63,0.6530851323988467,64,1.0,0,0
64,0.7496628071537765,65,1.0,0,0
65,0.3106374297517133,66,1.0,0,0
66,-0.2055032516096923,67,1.0,0,0
67,-0.7092699426248477,68,1.0,0,0
68,-0.6457516216282793,69,1.0,0,0
69,-1.2401930594896595,70,1.0,0,0
70,0.2704431567293439,71,1.0,0,0
71,-0.6342916880496359,72,1.0,0,0
72,0.6628320237002489,73,1.0,0,0
73,1.551430682680944,74,1.0,0,0
74,1.6174897820255132,75,1.0,0,0
75,0.9716098017404718,76,1.0,0,0
76,0.8817430774011913,77,1.0,0,0
77,1.9257296100918393,78,1.0,0,0
78,2.6896891824499267,79,1.0,0,0
79,2.3363932011292827,80,1.0,0,0
80,2.927503002761877,81,1.0,0,0
81,2.252357720111159,82,1.0,0,0
82,3.481398037653773,83,1.0,0,0
83,4.749161165869472,84,1.0,0,0
84,3.532052171226761,85,1.0,0,0
85,4.16816079755745,86,1.0,0,0
86,6.078563123291173,87,1.0,0,0
87,5.224903601586862,88,1.0,0,0
88,4.289865332080561,89,1.0,0,0
89,3.0544630704013684,90,1.0,0,0
90,2.813385221270142,91,1.0,0,0
91,0.4173865871841058,92,1.0,0,0
92,-0.1644351053661198,93,1.0,0,0
93,-1.7265478174217792,94,1.0,0,0
94,-2.151657233204279,95,1.0,0,0
95,-2.1241297672266186,96,1.0,0,0
96,-2.4463143092024584,97,1.0,0,0
97,-0.982034684586944,98,1.0,0,0
98,-2.4966245031963163,99,1.0,0,0
99,-3.182090648296121,100,1.0,0,0
100,-4.473521356303696,101,1.0,0,0
101,-4.2461160257729995,102,1.0,0,0
102,-4.955854651533901,103,1.0,0,0
103,-5.121519308813691,104,1.0,0,0
104,-3.1349886471386608,105,1.0,0,0
105,-3.330827527825283,106,1.0,0,0
106,-3.1766542982006087,107,1.0,0,0
107,-2.904234604633084,108,1.0,0,0
108,-2.6040368972629495,109,1.0,0,0
109,-1.9556192532791223,110,1.0,0,0
110,-1.4044512918388607,111,1.0,0,0
111,-2.0415033545024888,112,1.0,0,0
112,-1.9725096986521995,113,1.0,0,0
113,-2.398320372881157,114,1.0,0,0
114,-3.8427709756638606,115,1.0,0,0
115,-3.3833231738758363,116,1.0,0,0
116,-2.8124652930738914,117,1.0,0,0
117,-2.858219179791575,118,1.0,0,0
118,-2.04059962111753,119,1.0,0,0
119,-4.431548107845694,120,1.0,0,0
120,-3.215066298316492,121,1.0,0,0
121,-3.6469648477869097,122,1.0,0,0
122,-4.850930411892093,123,1.0,0,0
123,-5.310945232385069,124,1.0,0,0
124,-5.989690734373326,125,1.0,0,0
125,-5.93793690748507,126,1.0,0,0
126,-5.130637286780069,127,1.0,0,0
127,-4.165851820763147,128,1.0,0,0
128,-5.102947476248845,129,1.0,0,0
129,-5.432838827737728,130,1.0,0,0
130,-3.51765910128212,131,1.0,0,0
131,-1.880264381594387,132,1.0,0,0
132,-1.2630803208974304,133,1.0,0,0
133,-0.3700302412231381,134,1.0,0,0
134,-1.436882011687031,135,1.0,0,0
135,-1.3726322482439566,136,1.0,0,0
136,-1.2606130416926316,137,1.0,0,0
137,-1.962751251191504,138,1.0,0,0
138,-0.8859980472982646,139,1.0,0,0
139,-0.6514905706453835,140,1.0,0,0
140,-0.5953332341482913,141,1.0,0,0
141,0.4812208324711043,142,1.0,0,0
142,1.2154750110883052,143,1.0,0,0
143,2.902891384082882,144,1.0,0,0
144,0.7060428303039588,145,1.0,0,0
145,0.7212915895291739,146,1.0,0,0
146,1.3358940720380137,147,1.0,0,0
147,1.3555067655154898,148,1.0,0,0
148,1.135422511711925,149,1.0,0,0
149,0.7306494110975901,150,1.0,0,0
150,-0.2794751839097975,151,1.0,0,0
151,-0.2541451565277174,152,1.0,0,0
152,1.8719177649222607,153,1.0,0,0
153,1.7107124611431344,154,1.0,0,0
154,2.5311762964608775,155,1.0,0,0
155,2.5034675673828426,156,1.0,0,0
156,1.145073355671293,157,1.0,0,0
157,2.0843708086465123,158,1.0,0,0
158,1.467360807985772,159,1.0,0,0
159,0.4525698519789375,160,1.0,0,0
160,-0.547505705173257,161,1.0,0,0
161,-1.8253242167561587,162,1.0,0,0
162,-0.9175953415406136,163,1.0,0,0
163,-1.3815500697237766,164,1.0,0,0
164,-1.2695850239476638,165,1.0,0,0
165,-0.9333166682757834,166,1.0,0,0
166,-0.3698341545465189,167,1.0,0,0
167,-2.1668536970975087,150,0.8928571428571429,0,0
168,-0.9570849869024975,169,1.0,0,0
169,0.6400157001653305,170,1.0,0,0
170,0.6089817816423149,171,1.0,0,0
171,1.8488282317301616,150,0.872093023255814,0,0
172,0.676898803334693,150,0.8670520231213873,0,0
173,0.6307372810640385,174,1.0,0,0
174,-0.428713606573576,150,0.8571428571428571,0,0
175,0.5326513470714629,176,1.0,0,0
176,0.7916909725224546,150,0.847457627118644,0,0
177,1.3450856533576168,150,0.8426966292134831,0,0
178,2.0603719354659655,150,0.8379888268156425,0,0
179,1.509555496432151,180,1.0,0,0
180,2.5692896292097327,150,0.8287292817679558,0,0
181,3.7321867105480897,150,0.8241758241758241,0,0
182,3.0544647707924613,150,0.819672131147541,0,0
183,3.916630723973154,184,1.0,0,0
184,3.7298620445741535,185,1.0,0,0
185,4.024701829875077,150,0.8064516129032258,0,0
186,2.077685861049387,150,0.8021390374331551,0,0
187,1.635535717861824,188,1.0,0,0
188,2.6296464608205943,189,1.0,0,0
189,3.426366351641554,190,1.0,0,0
190,2.7387315154649574,191,1.0,0,0
191,3.07778759337408,192,1.0,0,0
192,3.5503530664240235,150,0.7772020725388601,0,0
193,2.790224019504665,194,1.0,0,0
194,2.302775670222776,195,1.0,0,0
195,1.1830949835548932,196,1.0,0,0
196,2.3057804851189596,197,1.0,0,0
197,3.1324236125097302,198,1.0,0,0
198,2.7482885431827206,199,1.0,0,0
199,1.3321906286031715,200,1.0,0,0
200,1.4177576005311594,201,1.0,0,0
201,1.7673367983602926,202,1.0,0,0
202,2.222827809739513,203,1.0,0,0
203,0.924976306697836,204,1.0,0,0
204,0.1538260170683993,205,1.0,0,0
205,-0.4309026711319108,206,1.0,0,0
206,1.687890712423609,207,1.0,0,0
207,0.626702769011377,208,1.0,0,0
208,0.969793366939868,209,1.0,0,0
209,0.9155186728418756,210,1.0,0,0
210,2.25763375431742,211,1.0,0,0
211,2.6454336714914684,212,1.0,0,0
212,3.8413601767400127,213,1.0,0,0
213,3.989245376918296,214,1.0,0,0
214,3.1068697382459805,215,1.0,0,0
215,1.3550920165025888,216,1.0,0,0
216,1.9035807390867407,217,1.0,0,0
217,3.333384748089205,218,1.0,0,0
218,2.0397651607594263,219,1.0,0,0
219,1.5321181068766758,220,1.0,0,0
220,1.4030375569759204,221,1.0,0,0
221,1.4233506614486768,222,1.0,0,0
222,-0.7321364853114651,223,1.0,0,0
223,-2.520680044331435,224,1.0,0,0
224,-2.3073752799293947,225,1.0,0,0
225,-2.557105873729474,226,1.0,0,0
226,-1.7667181664333715,227,1.0,0,0
227,-0.7759257516078125,228,1.0,0,0
228,-1.885924233982348,229,1.0,0,0
229,-1.1614767992854556,230,1.0,0,0
230,-1.2586853804567415,231,1.0,0,0
231,-1.5299984460442646,232,1.0,0,0
232,-2.1126177813211893,233,1.0,0,0
233,-1.431401868154541,234,1.0,0,0
234,-0.4285352269936014,235,1.0,0,0
235,0.1734159399434697,236,1.0,0,0
236,1.2028975120350474,237,1.0,0,0
237,2.239013271151106,238,1.0,0,0
238,0.534351370990708,239,1.0,0,0
239,1.024459991152037,240,1.0,0,0
240,1.310806861240989,241,1.0,0,0
241,0.6033330160591853,242,1.0,0,0
242,0.4226274919179137,243,1.0,0,0
243,-0.5636673947994681,244,1.0,0,0
244,-0.7157464856302974,245,1.0,0,0
245,-1.141943054053616,246,1.0,0,0
246,1.115074984082818,247,1.0,0,0
247,2.381590409205731,248,1.0,0,0
248,3.702177917282672,249,1.0,0,0
249,5.264715084628761,250,1.0,0,0
