windows_run_0,windows_run_1,window_mean
1,1,1.0
2,2,2.0
3,3,3.0
4,4,4.0
5,5,5.0
6,6,6.0
7,7,7.0
8,8,8.0
9,9,9.0
10,10,10.0
11,11,11.0
12,12,12.0
13,13,13.0
14,14,14.0
15,15,15.0
16,16,16.0
17,17,17.0
18,18,18.0
19,19,19.0
20,20,20.0
21,21,21.0
22,22,22.0
23,23,23.0
24,24,24.0
25,25,25.0
26,26,26.0
27,27,27.0
28,28,28.0
29,29,29.0
30,30,30.0
31,31,31.0
32,32,32.0
33,33,33.0
34,34,34.0
35,35,35.0
36,36,36.0
37,37,37.0
38,38,38.0
39,39,39.0
40,40,40.0
41,41,41.0
42,42,42.0
43,43,43.0
44,44,44.0
45,45,45.0
46,46,46.0
47,47,47.0
48,48,48.0
49,49,49.0
50,50,50.0
51,51,51.0
52,52,52.0
53,53,53.0
54,54,54.0
50,55,52.5
56,56,56.0
57,57,57.0
58,58,58.0
59,59,59.0
60,60,60.0
61,61,61.0
62,62,62.0
63,50,56.5
64,64,64.0
65,65,65.0
66,66,66.0
50,67,58.5
50,50,50.0
69,50,59.5
50,50,50.0
50,50,50.0
50,72,61.0
73,50,61.5
74,74,74.0
75,75,75.0
76,76,76.0
77,77,77.0
78,78,78.0
79,50,64.5
50,50,50.0
50,50,50.0
50,82,66.0
83,83,83.0
50,50,50.0
50,50,50.0
50,50,50.0
87,50,68.5
50,50,50.0
50,50,50.0
90,90,90.0
50,91,70.5
92,50,71.0
93,93,93.0
94,94,94.0
95,50,72.5
96,96,96.0
97,97,97.0
98,98,98.0
99,99,99.0
100,100,100.0
101,101,101.0
102,102,102.0
103,103,103.0
104,104,104.0
50,105,77.5
75,106,90.5
107,107,107.0
108,75,91.5
109,75,92.0
100,110,105.0
111,50,80.5
50,50,50.0
50,50,50.0
114,50,82.0
115,50,82.5
50,116,83.0
117,100,108.5
118,118,118.0
100,100,100.0
120,120,120.0
100,100,100.0
122,100,111.0
100,123,111.5
124,100,112.0
100,100,100.0
126,125,125.5
127,127,127.0
128,128,128.0
100,100,100.0
125,130,127.5
131,100,115.5
125,132,128.5
125,50,87.5
50,134,92.0
135,135,135.0
50,50,50.0
50,137,93.5
50,50,50.0
50,50,50.0
50,140,95.0
50,50,50.0
50,50,50.0
