Date,N,windows,scaled_windows,MSE,RMSE
0,-0.9891213503478508,13,13.0,0,0
1,-1.257995866780949,13,6.5,0,0
2,0.1458377676829159,13,4.333333333333333,0,0
3,0.3027572378759495,13,3.25,0,0
4,1.181590832737231,13,2.6,0,0
5,1.645021490776348,13,2.1666666666666665,0,0
6,0.8588991760338642,13,1.8571428571428572,0,0
7,1.343227602075907,13,1.625,0,0
8,0.9173485973706024,13,1.4444444444444444,0,0
9,0.5252458892556796,13,1.3,0,0
10,0.592494380995034,13,1.1818181818181819,0,0
11,-0.978259518757158,13,1.0833333333333333,0,0
12,0.3229099399227234,13,1.0,0,0
13,-0.3843283806212796,14,1.0,0,0
14,0.6478203813119643,15,1.0,0,0
15,0.7187452826268999,16,1.0,0,0
16,2.181538753999913,17,1.0,0,0
17,1.3170811214474898,18,1.0,0,0
18,0.9025809931990914,19,1.0,0,0
19,1.1850782191924822,20,1.0,0,0
20,-1.1187040797801044,21,1.0,0,0
21,-0.1580356381194414,22,1.0,0,0
22,1.4000620617772446,23,1.0,0,0
23,2.374095251685553,24,1.0,0,0
24,2.9038756350658264,25,1.0,0,0
25,2.505251751578648,26,1.0,0,0
26,3.58940851234801,27,1.0,0,0
27,4.358589556951597,28,1.0,0,0
28,4.376298048472975,29,1.0,0,0
29,4.023262537147657,30,1.0,0,0
30,3.346518287326214,31,1.0,0,0
31,1.8656298689593545,32,1.0,0,0
32,2.9789939831293086,33,1.0,0,0
33,0.5611721796940516,34,1.0,0,0
34,0.1833538543932177,35,1.0,0,0
35,0.3648002002567975,36,1.0,0,0
36,1.1956466251847273,37,1.0,0,0
37,2.843224739724566,38,1.0,0,0
38,3.5678305099583354,35,0.8974358974358975,0,0
39,2.959914746513157,40,1.0,0,0
40,3.4561613822478128,35,0.8536585365853658,0,0
41,1.91422237966805,35,0.8333333333333334,0,0
42,3.2168994296775617,35,0.813953488372093,0,0
43,2.7924379994995587,44,1.0,0,0
44,1.8907462676560016,35,0.7777777777777778,0,0
45,1.1227049147499673,35,0.7608695652173914,0,0
46,0.995904938326153,47,1.0,0,0
47,0.5336640337476541,35,0.7291666666666666,0,0
48,2.7913936762182283,49,1.0,0,0
49,1.8093688504365475,35,0.7,0,0
50,1.6942902856495223,35,0.6862745098039216,0,0
51,1.5989187779367569,35,0.6730769230769231,0,0
52,1.5023356142436797,35,0.660377358490566,0,0
53,1.4403800054078832,35,0.6481481481481481,0,0
54,0.8457916905989503,55,1.0,0,0
55,0.2072321772714519,49,0.875,0,0
56,-0.6527898255669091,49,0.8596491228070176,0,0
57,-2.0651552175831043,49,0.8448275862068966,0,0
58,-1.6467884391985363,59,1.0,0,0
59,-0.5249126950143067,49,0.8166666666666667,0,0
60,-1.0526250030933206,61,1.0,0,0
61,-1.527694553169901,49,0.7903225806451613,0,0
62,-1.707183304156635,63,1.0,0,0
63,-2.022907910542508,64,1.0,0,0
64,-3.2892356470864668,65,1.0,0,0
65,-1.6325049624878925,49,0.7424242424242424,0,0
66,-1.0833760142579263,67,1.0,0,0
67,-1.7359508461259097,35,0.5147058823529411,0,0
68,-1.2923428097409255,35,0.5072463768115942,0,0
69,-1.6297590699864035,35,0.5,0,0
70,-1.7087035329211115,35,0.49295774647887325,0,0
71,-1.2030903668471595,35,0.4861111111111111,0,0
72,-0.1632014642169845,35,0.4794520547945205,0,0
73,1.343524872448309,35,0.47297297297297297,0,0
74,2.899418915841875,35,0.4666666666666667,0,0
75,2.372421550909058,35,0.4605263157894737,0,0
76,1.6778602425675446,35,0.45454545454545453,0,0
77,1.6623901249003177,35,0.44871794871794873,0,0
78,1.6649971426333647,35,0.4430379746835443,0,0
79,0.7976780395998474,49,0.6125,0,0
80,0.1307088200804365,35,0.43209876543209874,0,0
81,0.9555384103155732,82,1.0,0,0
82,2.5110694516215792,35,0.42168674698795183,0,0
83,2.044324130384209,35,0.4166666666666667,0,0
84,1.2265925849698205,35,0.4117647058823529,0,0
85,0.8661160556687064,86,1.0,0,0
86,-0.1829177427146679,87,1.0,0,0
87,-0.416570651826124,49,0.5568181818181818,0,0
88,0.0543625379537832,89,1.0,0,0
89,-0.0384115613763581,35,0.3888888888888889,0,0
90,1.1963851106841603,91,1.0,0,0
91,1.2277941416019529,49,0.532608695652174,0,0
92,1.5977139902690594,35,0.3763440860215054,0,0
93,1.3134268513555216,35,0.3723404255319149,0,0
94,2.526004954099035,49,0.5157894736842106,0,0
95,1.080170264898806,96,1.0,0,0
96,0.7069562161632414,35,0.36082474226804123,0,0
97,-0.5013663289432957,35,0.35714285714285715,0,0
98,0.3929150757733423,35,0.35353535353535354,0,0
99,1.206001756691232,70,0.7,0,0
100,0.5685494754771424,35,0.3465346534653465,0,0
101,2.1857970145575623,35,0.3431372549019608,0,0
102,1.6877002297842354,35,0.33980582524271846,0,0
103,0.1630965517577862,35,0.33653846153846156,0,0
104,-0.095682635810752,35,0.3333333333333333,0,0
105,0.2924141055268187,35,0.330188679245283,0,0
106,0.0294548192065376,49,0.45794392523364486,0,0
107,2.2939972518502536,70,0.6481481481481481,0,0
108,2.923202866692502,35,0.3211009174311927,0,0
109,4.385396539456648,49,0.44545454545454544,0,0
110,5.384914329787354,35,0.3153153153153153,0,0
111,3.233724212501354,35,0.3125,0,0
112,2.630296293278509,49,0.4336283185840708,0,0
113,-0.2750326374993004,114,1.0,0,0
114,-0.8352859045985312,99,0.8608695652173913,0,0
115,0.3868995782028276,49,0.4224137931034483,0,0
116,-0.5061046609778611,117,1.0,0,0
117,-1.0966664961102106,49,0.4152542372881356,0,0
118,-0.6620577298005769,49,0.4117647058823529,0,0
119,0.1754368327989381,99,0.825,0,0
120,-0.2160074768721177,49,0.4049586776859504,0,0
121,-0.4550851135950681,70,0.5737704918032787,0,0
122,0.3989993938263497,123,1.0,0,0
123,0.6064472134032157,99,0.7983870967741935,0,0
124,0.2599548637513032,99,0.792,0,0
125,0.5585173357033568,99,0.7857142857142857,0,0
126,0.5874511310549216,127,1.0,0,0
