windows_run_0,window_mean
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
14,14.0
15,15.0
16,16.0
17,17.0
18,18.0
19,19.0
20,20.0
21,21.0
22,22.0
23,23.0
24,24.0
25,25.0
26,26.0
27,27.0
28,28.0
29,29.0
30,30.0
31,31.0
32,32.0
33,33.0
34,34.0
35,35.0
36,36.0
35,35.0
38,38.0
39,39.0
40,40.0
35,35.0
42,42.0
43,43.0
44,44.0
45,45.0
46,46.0
35,35.0
35,35.0
49,49.0
35,35.0
49,49.0
35,35.0
53,53.0
49,49.0
55,55.0
49,49.0
57,57.0
58,58.0
49,49.0
60,60.0
49,49.0
62,62.0
63,63.0
64,64.0
65,65.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
70,70.0
49,49.0
70,70.0
35,35.0
35,35.0
35,35.0
81,81.0
35,35.0
35,35.0
84,84.0
49,49.0
86,86.0
87,87.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
97,97.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
114,114.0
49,49.0
49,49.0
99,99.0
49,49.0
49,49.0
49,49.0
99,99.0
99,99.0
99,99.0
99,99.0
125,125.0
99,99.0
99,99.0
128,128.0
129,129.0
49,49.0
131,131.0
49,49.0
99,99.0
134,134.0
135,135.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
35,35.0
49,49.0
49,49.0
35,35.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
70,70.0
49,49.0
70,70.0
35,35.0
35,35.0
35,35.0
35,35.0
70,70.0
162,162.0
163,163.0
164,164.0
165,165.0
35,35.0
141,141.0
70,70.0
169,169.0
35,35.0
70,70.0
172,172.0
35,35.0
174,174.0
35,35.0
35,35.0
177,177.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
183,183.0
35,35.0
185,185.0
35,35.0
35,35.0
35,35.0
70,70.0
190,190.0
191,191.0
192,192.0
193,193.0
49,49.0
195,195.0
49,49.0
197,197.0
35,35.0
49,49.0
35,35.0
199,199.0
35,35.0
35,35.0
35,35.0
35,35.0
206,206.0
35,35.0
208,208.0
209,209.0
210,210.0
211,211.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
99,99.0
221,221.0
35,35.0
223,223.0
35,35.0
49,49.0
49,49.0
49,49.0
228,228.0
35,35.0
35,35.0
35,35.0
232,232.0
233,233.0
49,49.0
199,199.0
236,236.0
237,237.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
35,35.0
244,244.0
245,245.0
246,246.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
263,263.0
264,264.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
35,35.0
99,99.0
70,70.0
35,35.0
35,35.0
35,35.0
70,70.0
35,35.0
35,35.0
35,35.0
70,70.0
70,70.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
319,319.0
35,35.0
35,35.0
49,49.0
323,323.0
35,35.0
35,35.0
326,326.0
35,35.0
141,141.0
35,35.0
35,35.0
331,331.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
338,338.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
350,350.0
70,70.0
49,49.0
70,70.0
49,49.0
49,49.0
35,35.0
49,49.0
35,35.0
70,70.0
35,35.0
35,35.0
70,70.0
35,35.0
35,35.0
35,35.0
35,35.0
367,367.0
70,70.0
35,35.0
35,35.0
35,35.0
70,70.0
70,70.0
70,70.0
375,375.0
376,376.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
383,383.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
35,35.0
407,407.0
49,49.0
49,49.0
410,410.0
411,411.0
49,49.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
421,421.0
49,49.0
35,35.0
424,424.0
70,70.0
426,426.0
427,427.0
70,70.0
429,429.0
35,35.0
431,431.0
49,49.0
70,70.0
49,49.0
435,435.0
35,35.0
437,437.0
438,438.0
35,35.0
35,35.0
441,441.0
35,35.0
35,35.0
444,444.0
445,445.0
49,49.0
49,49.0
49,49.0
35,35.0
450,450.0
451,451.0
399,399.0
453,453.0
454,454.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
35,35.0
35,35.0
465,465.0
466,466.0
467,467.0
468,468.0
49,49.0
35,35.0
35,35.0
399,399.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
481,481.0
35,35.0
483,483.0
35,35.0
35,35.0
49,49.0
49,49.0
49,49.0
489,489.0
49,49.0
491,491.0
492,492.0
493,493.0
494,494.0
35,35.0
35,35.0
35,35.0
35,35.0
499,499.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
505,505.0
506,506.0
49,49.0
35,35.0
509,509.0
510,510.0
511,511.0
512,512.0
49,49.0
49,49.0
515,515.0
399,399.0
399,399.0
399,399.0
49,49.0
520,520.0
49,49.0
35,35.0
35,35.0
524,524.0
49,49.0
526,526.0
527,527.0
528,528.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
35,35.0
542,542.0
543,543.0
544,544.0
545,545.0
546,546.0
547,547.0
548,548.0
549,549.0
550,550.0
35,35.0
35,35.0
49,49.0
70,70.0
35,35.0
556,556.0
557,557.0
70,70.0
559,559.0
560,560.0
70,70.0
562,562.0
563,563.0
564,564.0
35,35.0
35,35.0
49,49.0
35,35.0
569,569.0
49,49.0
571,571.0
35,35.0
573,573.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
582,582.0
49,49.0
35,35.0
49,49.0
49,49.0
35,35.0
35,35.0
282,282.0
99,99.0
35,35.0
99,99.0
49,49.0
35,35.0
49,49.0
70,70.0
35,35.0
70,70.0
35,35.0
49,49.0
35,35.0
49,49.0
99,99.0
70,70.0
49,49.0
35,35.0
49,49.0
99,99.0
399,399.0
99,99.0
35,35.0
399,399.0
49,49.0
35,35.0
99,99.0
70,70.0
70,70.0
70,70.0
49,49.0
70,70.0
49,49.0
49,49.0
99,99.0
99,99.0
49,49.0
99,99.0
70,70.0
99,99.0
70,70.0
70,70.0
70,70.0
99,99.0
99,99.0
70,70.0
99,99.0
99,99.0
70,70.0
99,99.0
282,282.0
70,70.0
70,70.0
399,399.0
70,70.0
70,70.0
99,99.0
99,99.0
70,70.0
70,70.0
70,70.0
99,99.0
99,99.0
99,99.0
99,99.0
399,399.0
99,99.0
399,399.0
99,99.0
99,99.0
70,70.0
141,141.0
399,399.0
282,282.0
49,49.0
35,35.0
35,35.0
49,49.0
49,49.0
141,141.0
49,49.0
399,399.0
49,49.0
141,141.0
141,141.0
49,49.0
49,49.0
99,99.0
35,35.0
49,49.0
49,49.0
35,35.0
35,35.0
282,282.0
35,35.0
35,35.0
399,399.0
35,35.0
399,399.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
35,35.0
99,99.0
49,49.0
99,99.0
99,99.0
141,141.0
141,141.0
70,70.0
70,70.0
70,70.0
35,35.0
70,70.0
199,199.0
35,35.0
35,35.0
282,282.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
99,99.0
99,99.0
99,99.0
282,282.0
199,199.0
282,282.0
70,70.0
49,49.0
70,70.0
49,49.0
282,282.0
49,49.0
49,49.0
49,49.0
282,282.0
49,49.0
282,282.0
70,70.0
70,70.0
49,49.0
70,70.0
70,70.0
70,70.0
49,49.0
282,282.0
70,70.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
70,70.0
35,35.0
35,35.0
35,35.0
35,35.0
70,70.0
35,35.0
70,70.0
70,70.0
282,282.0
282,282.0
70,70.0
99,99.0
49,49.0
282,282.0
99,99.0
49,49.0
35,35.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
35,35.0
99,99.0
282,282.0
99,99.0
99,99.0
99,99.0
282,282.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
35,35.0
35,35.0
282,282.0
35,35.0
282,282.0
35,35.0
35,35.0
35,35.0
35,35.0
99,99.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
399,399.0
199,199.0
141,141.0
282,282.0
282,282.0
49,49.0
282,282.0
399,399.0
35,35.0
282,282.0
49,49.0
35,35.0
35,35.0
282,282.0
399,399.0
282,282.0
70,70.0
282,282.0
49,49.0
399,399.0
282,282.0
49,49.0
70,70.0
49,49.0
70,70.0
399,399.0
282,282.0
399,399.0
399,399.0
49,49.0
282,282.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
99,99.0
399,399.0
399,399.0
49,49.0
399,399.0
399,399.0
399,399.0
399,399.0
399,399.0
399,399.0
70,70.0
35,35.0
399,399.0
141,141.0
35,35.0
35,35.0
399,399.0
35,35.0
99,99.0
99,99.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
35,35.0
49,49.0
35,35.0
70,70.0
49,49.0
399,399.0
399,399.0
399,399.0
70,70.0
399,399.0
70,70.0
70,70.0
70,70.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
35,35.0
49,49.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
70,70.0
70,70.0
70,70.0
70,70.0
49,49.0
70,70.0
49,49.0
49,49.0
49,49.0
399,399.0
70,70.0
70,70.0
70,70.0
141,141.0
70,70.0
565,565.0
399,399.0
35,35.0
35,35.0
399,399.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
35,35.0
35,35.0
565,565.0
35,35.0
35,35.0
565,565.0
35,35.0
399,399.0
565,565.0
565,565.0
35,35.0
565,565.0
35,35.0
141,141.0
70,70.0
70,70.0
70,70.0
70,70.0
565,565.0
35,35.0
399,399.0
35,35.0
49,49.0
49,49.0
70,70.0
70,70.0
565,565.0
70,70.0
565,565.0
49,49.0
565,565.0
49,49.0
565,565.0
565,565.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
565,565.0
35,35.0
49,49.0
99,99.0
565,565.0
49,49.0
49,49.0
49,49.0
35,35.0
35,35.0
565,565.0
99,99.0
565,565.0
35,35.0
70,70.0
99,99.0
35,35.0
99,99.0
565,565.0
35,35.0
565,565.0
35,35.0
565,565.0
35,35.0
35,35.0
35,35.0
35,35.0
565,565.0
282,282.0
565,565.0
282,282.0
565,565.0
49,49.0
99,99.0
49,49.0
49,49.0
49,49.0
565,565.0
565,565.0
565,565.0
565,565.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
565,565.0
70,70.0
141,141.0
99,99.0
565,565.0
70,70.0
99,99.0
565,565.0
282,282.0
141,141.0
565,565.0
70,70.0
199,199.0
70,70.0
141,141.0
141,141.0
199,199.0
141,141.0
199,199.0
141,141.0
99,99.0
199,199.0
49,49.0
141,141.0
199,199.0
199,199.0
99,99.0
199,199.0
199,199.0
199,199.0
199,199.0
199,199.0
199,199.0
199,199.0
141,141.0
199,199.0
199,199.0
199,199.0
199,199.0
35,35.0
141,141.0
199,199.0
199,199.0
