windows_run_0,window_mean
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
13,13.0
14,14.0
15,15.0
16,16.0
17,17.0
18,18.0
19,19.0
20,20.0
21,21.0
22,22.0
23,23.0
24,24.0
25,25.0
26,26.0
27,27.0
28,28.0
29,29.0
30,30.0
31,31.0
32,32.0
33,33.0
34,34.0
35,35.0
36,36.0
37,37.0
38,38.0
39,39.0
40,40.0
41,41.0
42,42.0
43,43.0
44,44.0
45,45.0
35,35.0
47,47.0
48,48.0
49,49.0
50,50.0
35,35.0
35,35.0
35,35.0
35,35.0
55,55.0
49,49.0
49,49.0
35,35.0
59,59.0
60,60.0
61,61.0
62,62.0
63,63.0
49,49.0
65,65.0
66,66.0
67,67.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
35,35.0
49,49.0
35,35.0
35,35.0
82,82.0
35,35.0
84,84.0
85,85.0
49,49.0
49,49.0
49,49.0
89,89.0
90,90.0
49,49.0
92,92.0
35,35.0
49,49.0
95,95.0
35,35.0
97,97.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
107,107.0
70,70.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
114,114.0
115,115.0
49,49.0
117,117.0
49,49.0
49,49.0
120,120.0
70,70.0
122,122.0
123,123.0
99,99.0
125,125.0
126,126.0
127,127.0
128,128.0
129,129.0
99,99.0
131,131.0
132,132.0
133,133.0
49,49.0
49,49.0
49,49.0
137,137.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
144,144.0
145,145.0
146,146.0
49,49.0
35,35.0
35,35.0
49,49.0
35,35.0
49,49.0
70,70.0
35,35.0
35,35.0
35,35.0
70,70.0
158,158.0
35,35.0
160,160.0
35,35.0
35,35.0
163,163.0
70,70.0
165,165.0
70,70.0
70,70.0
168,168.0
169,169.0
170,170.0
171,171.0
35,35.0
173,173.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
179,179.0
180,180.0
49,49.0
35,35.0
183,183.0
35,35.0
185,185.0
186,186.0
49,49.0
49,49.0
49,49.0
190,190.0
191,191.0
49,49.0
193,193.0
49,49.0
195,195.0
196,196.0
49,49.0
35,35.0
199,199.0
35,35.0
199,199.0
202,202.0
35,35.0
49,49.0
205,205.0
206,206.0
49,49.0
208,208.0
209,209.0
210,210.0
211,211.0
212,212.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
219,219.0
220,220.0
221,221.0
222,222.0
223,223.0
224,224.0
49,49.0
49,49.0
49,49.0
228,228.0
229,229.0
230,230.0
231,231.0
232,232.0
233,233.0
49,49.0
35,35.0
141,141.0
35,35.0
49,49.0
239,239.0
49,49.0
49,49.0
35,35.0
243,243.0
244,244.0
245,245.0
246,246.0
247,247.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
253,253.0
35,35.0
35,35.0
35,35.0
35,35.0
258,258.0
35,35.0
35,35.0
35,35.0
35,35.0
263,263.0
70,70.0
265,265.0
266,266.0
49,49.0
70,70.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
274,274.0
275,275.0
49,49.0
277,277.0
278,278.0
279,279.0
280,280.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
294,294.0
295,295.0
35,35.0
297,297.0
35,35.0
70,70.0
300,300.0
99,99.0
49,49.0
35,35.0
304,304.0
305,305.0
35,35.0
35,35.0
35,35.0
309,309.0
35,35.0
35,35.0
312,312.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
318,318.0
319,319.0
35,35.0
321,321.0
35,35.0
35,35.0
324,324.0
325,325.0
35,35.0
35,35.0
35,35.0
329,329.0
330,330.0
331,331.0
332,332.0
333,333.0
35,35.0
335,335.0
336,336.0
337,337.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
347,347.0
49,49.0
349,349.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
359,359.0
70,70.0
361,361.0
70,70.0
363,363.0
35,35.0
35,35.0
35,35.0
70,70.0
49,49.0
35,35.0
70,70.0
70,70.0
70,70.0
70,70.0
70,70.0
70,70.0
376,376.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
35,35.0
49,49.0
35,35.0
35,35.0
70,70.0
35,35.0
70,70.0
35,35.0
35,35.0
397,397.0
398,398.0
35,35.0
35,35.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
406,406.0
407,407.0
408,408.0
409,409.0
410,410.0
70,70.0
412,412.0
49,49.0
70,70.0
35,35.0
416,416.0
35,35.0
418,418.0
35,35.0
35,35.0
421,421.0
49,49.0
35,35.0
49,49.0
49,49.0
70,70.0
427,427.0
428,428.0
429,429.0
430,430.0
431,431.0
432,432.0
70,70.0
434,434.0
35,35.0
49,49.0
437,437.0
35,35.0
439,439.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
445,445.0
49,49.0
49,49.0
49,49.0
35,35.0
450,450.0
451,451.0
452,452.0
453,453.0
454,454.0
455,455.0
49,49.0
49,49.0
49,49.0
459,459.0
460,460.0
49,49.0
49,49.0
35,35.0
464,464.0
465,465.0
466,466.0
467,467.0
468,468.0
469,469.0
49,49.0
471,471.0
35,35.0
473,473.0
474,474.0
35,35.0
49,49.0
35,35.0
35,35.0
479,479.0
35,35.0
35,35.0
482,482.0
35,35.0
484,484.0
485,485.0
35,35.0
49,49.0
70,70.0
489,489.0
49,49.0
491,491.0
492,492.0
35,35.0
35,35.0
35,35.0
35,35.0
497,497.0
498,498.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
507,507.0
508,508.0
509,509.0
510,510.0
511,511.0
512,512.0
49,49.0
514,514.0
49,49.0
399,399.0
517,517.0
518,518.0
519,519.0
49,49.0
49,49.0
522,522.0
523,523.0
524,524.0
525,525.0
526,526.0
527,527.0
528,528.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
70,70.0
49,49.0
70,70.0
70,70.0
35,35.0
35,35.0
546,546.0
70,70.0
70,70.0
70,70.0
70,70.0
551,551.0
70,70.0
49,49.0
70,70.0
555,555.0
556,556.0
35,35.0
70,70.0
559,559.0
70,70.0
561,561.0
562,562.0
99,99.0
564,564.0
565,565.0
566,566.0
567,567.0
35,35.0
569,569.0
35,35.0
571,571.0
49,49.0
35,35.0
35,35.0
35,35.0
576,576.0
35,35.0
578,578.0
579,579.0
35,35.0
49,49.0
35,35.0
565,565.0
565,565.0
35,35.0
99,99.0
49,49.0
35,35.0
49,49.0
399,399.0
99,99.0
282,282.0
99,99.0
99,99.0
35,35.0
70,70.0
35,35.0
70,70.0
35,35.0
70,70.0
70,70.0
70,70.0
99,99.0
99,99.0
49,49.0
99,99.0
35,35.0
99,99.0
49,49.0
99,99.0
99,99.0
282,282.0
399,399.0
99,99.0
282,282.0
70,70.0
49,49.0
70,70.0
49,49.0
99,99.0
49,49.0
70,70.0
49,49.0
99,99.0
49,49.0
99,99.0
70,70.0
70,70.0
70,70.0
99,99.0
99,99.0
99,99.0
70,70.0
70,70.0
99,99.0
99,99.0
99,99.0
70,70.0
99,99.0
99,99.0
99,99.0
70,70.0
282,282.0
99,99.0
99,99.0
99,99.0
70,70.0
70,70.0
70,70.0
99,99.0
99,99.0
399,399.0
399,399.0
399,399.0
99,99.0
99,99.0
99,99.0
199,199.0
141,141.0
141,141.0
282,282.0
70,70.0
399,399.0
141,141.0
141,141.0
141,141.0
35,35.0
141,141.0
141,141.0
35,35.0
49,49.0
99,99.0
49,49.0
99,99.0
35,35.0
141,141.0
99,99.0
399,399.0
49,49.0
70,70.0
35,35.0
99,99.0
35,35.0
35,35.0
35,35.0
399,399.0
399,399.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
35,35.0
49,49.0
35,35.0
282,282.0
99,99.0
99,99.0
282,282.0
399,399.0
199,199.0
282,282.0
70,70.0
70,70.0
70,70.0
282,282.0
141,141.0
282,282.0
70,70.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
99,99.0
35,35.0
49,49.0
49,49.0
99,99.0
99,99.0
99,99.0
49,49.0
99,99.0
199,199.0
99,99.0
282,282.0
282,282.0
282,282.0
282,282.0
49,49.0
282,282.0
49,49.0
282,282.0
49,49.0
70,70.0
282,282.0
282,282.0
282,282.0
282,282.0
282,282.0
70,70.0
399,399.0
70,70.0
70,70.0
70,70.0
282,282.0
282,282.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
35,35.0
99,99.0
70,70.0
35,35.0
35,35.0
70,70.0
35,35.0
70,70.0
70,70.0
282,282.0
70,70.0
70,70.0
282,282.0
282,282.0
282,282.0
282,282.0
199,199.0
99,99.0
99,99.0
399,399.0
99,99.0
99,99.0
99,99.0
99,99.0
282,282.0
282,282.0
99,99.0
99,99.0
282,282.0
282,282.0
99,99.0
49,49.0
99,99.0
99,99.0
99,99.0
49,49.0
35,35.0
282,282.0
35,35.0
399,399.0
399,399.0
35,35.0
35,35.0
282,282.0
399,399.0
35,35.0
399,399.0
70,70.0
35,35.0
35,35.0
35,35.0
399,399.0
282,282.0
282,282.0
399,399.0
282,282.0
399,399.0
399,399.0
399,399.0
35,35.0
49,49.0
399,399.0
35,35.0
399,399.0
49,49.0
35,35.0
282,282.0
399,399.0
282,282.0
399,399.0
282,282.0
49,49.0
399,399.0
399,399.0
141,141.0
49,49.0
282,282.0
49,49.0
282,282.0
399,399.0
399,399.0
399,399.0
49,49.0
399,399.0
399,399.0
399,399.0
49,49.0
49,49.0
49,49.0
49,49.0
399,399.0
399,399.0
399,399.0
49,49.0
141,141.0
399,399.0
399,399.0
99,99.0
399,399.0
35,35.0
399,399.0
399,399.0
399,399.0
35,35.0
399,399.0
399,399.0
35,35.0
35,35.0
399,399.0
49,49.0
35,35.0
35,35.0
49,49.0
399,399.0
99,99.0
35,35.0
35,35.0
399,399.0
399,399.0
35,35.0
399,399.0
399,399.0
70,70.0
49,49.0
399,399.0
399,399.0
70,70.0
399,399.0
70,70.0
399,399.0
399,399.0
49,49.0
49,49.0
70,70.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
70,70.0
35,35.0
35,35.0
70,70.0
35,35.0
35,35.0
70,70.0
49,49.0
49,49.0
35,35.0
70,70.0
49,49.0
70,70.0
399,399.0
49,49.0
35,35.0
399,399.0
35,35.0
399,399.0
35,35.0
399,399.0
565,565.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
35,35.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
49,49.0
565,565.0
35,35.0
565,565.0
35,35.0
35,35.0
35,35.0
70,70.0
70,70.0
565,565.0
70,70.0
565,565.0
565,565.0
399,399.0
70,70.0
70,70.0
70,70.0
70,70.0
70,70.0
70,70.0
70,70.0
70,70.0
49,49.0
49,49.0
565,565.0
399,399.0
565,565.0
70,70.0
565,565.0
565,565.0
565,565.0
49,49.0
35,35.0
565,565.0
35,35.0
565,565.0
35,35.0
35,35.0
35,35.0
282,282.0
35,35.0
565,565.0
99,99.0
565,565.0
565,565.0
282,282.0
565,565.0
282,282.0
141,141.0
49,49.0
49,49.0
141,141.0
35,35.0
565,565.0
99,99.0
565,565.0
565,565.0
565,565.0
282,282.0
565,565.0
99,99.0
565,565.0
565,565.0
565,565.0
35,35.0
35,35.0
35,35.0
565,565.0
565,565.0
565,565.0
282,282.0
35,35.0
565,565.0
565,565.0
565,565.0
49,49.0
49,49.0
49,49.0
49,49.0
99,99.0
565,565.0
399,399.0
70,70.0
99,99.0
99,99.0
49,49.0
99,99.0
99,99.0
99,99.0
99,99.0
99,99.0
565,565.0
565,565.0
99,99.0
565,565.0
565,565.0
99,99.0
99,99.0
199,199.0
99,99.0
565,565.0
199,199.0
70,70.0
141,141.0
141,141.0
565,565.0
99,99.0
199,199.0
199,199.0
141,141.0
199,199.0
199,199.0
199,199.0
199,199.0
199,199.0
49,49.0
49,49.0
99,99.0
199,199.0
199,199.0
199,199.0
199,199.0
199,199.0
199,199.0
199,199.0
399,399.0
199,199.0
199,199.0
141,141.0
199,199.0
199,199.0
199,199.0
141,141.0
199,199.0
199,199.0
199,199.0
